number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
4878,Need for llama.cpp providers,https://github.com/pydantic/pydantic-ai/issues/4878,OPEN,2026-03-27,False,True,,,,
4868,AGUI Thinking Events are deprecated,https://github.com/pydantic/pydantic-ai/issues/4868,CLOSED,2026-03-26,True,True,,,,
4861,OpenAI Provider not working with thinking capability,https://github.com/pydantic/pydantic-ai/issues/4861,CLOSED,2026-03-26,True,True,,,,
4839,operation.cost missing for OpenRouter with OpenAIChatModel + LiteLLMProvider,https://github.com/pydantic/pydantic-ai/issues/4839,OPEN,2026-03-25,True,True,,,,
4819,Add Inkog MCP server to Third-Party Toolsets (Security),https://github.com/pydantic/pydantic-ai/issues/4819,CLOSED,2026-03-24,False,True,,,,
4818,Migrate remaining models to use `RequestUsage.extract()` via genai-prices,https://github.com/pydantic/pydantic-ai/issues/4818,OPEN,2026-03-24,False,True,,,,
4753,xAI: fix field rename and provider fallback in _extract_usage(),https://github.com/pydantic/pydantic-ai/issues/4753,CLOSED,2026-03-20,False,True,,,,
4744,`Agent(retries=...)` not propagated to user-provided toolsets,https://github.com/pydantic/pydantic-ai/issues/4744,CLOSED,2026-03-19,True,False,,,,
4740,Support empty thinking tags for Nemotron outputs,https://github.com/pydantic/pydantic-ai/issues/4740,OPEN,2026-03-19,True,True,,,,
4723,New end_strategy='review' — let the model review and patch output before finalizing,https://github.com/pydantic/pydantic-ai/issues/4723,OPEN,2026-03-18,False,True,,,,
4710,ORCH integration with PydanticAI agents — CLI orchestration for multi-agent workflows,https://github.com/pydantic/pydantic-ai/issues/4710,CLOSED,2026-03-17,False,True,,,,
4679,🚀 Architecture Proposal: Agentic Two-Phase Commits (Deterministic Rollbacks for Failed Agent Operations),https://github.com/pydantic/pydantic-ai/issues/4679,OPEN,2026-03-16,False,True,,,,
4678,ToolOutput max_retries is unused.,https://github.com/pydantic/pydantic-ai/issues/4678,CLOSED,2026-03-16,True,True,,,,
4672,Model Settings (e.g. Thinking) Shorthand Notation,https://github.com/pydantic/pydantic-ai/issues/4672,OPEN,2026-03-15,True,True,,,,
4647,Upgrade Anthropic web search / web fetch to 20260209 tool versions (dynamic filtering support),https://github.com/pydantic/pydantic-ai/issues/4647,OPEN,2026-03-13,False,True,,,,
4608,OpenAIResponsesModel: invalid_encrypted_content error when using API gateway/proxy across orgs,https://github.com/pydantic/pydantic-ai/issues/4608,OPEN,2026-03-09,False,True,,,,
4605,"Usage.__add__ shallow copy mutates original object's details dict, causing inflated token counts on repeated StreamedRunResult.usage() calls",https://github.com/pydantic/pydantic-ai/issues/4605,CLOSED,2026-03-09,True,False,,,,
4566,Support for OpenAI's `tool_search` and `defer_loading` in Responses API.,https://github.com/pydantic/pydantic-ai/issues/4566,CLOSED,2026-03-06,False,True,,,,
4557,Thinking-only response after tool call triggers unnecessary retry instead of using backward-looking text recovery,https://github.com/pydantic/pydantic-ai/issues/4557,CLOSED,2026-03-05,True,True,,,,
4538,Expose context window size on `ModelProfile` and usage limits/tokens on `RunContext`,https://github.com/pydantic/pydantic-ai/issues/4538,OPEN,2026-03-04,True,True,,,,
4519,Tool example: Fía Signals crypto intelligence API (pip install fia-signals-tools),https://github.com/pydantic/pydantic-ai/issues/4519,CLOSED,2026-03-03,False,True,,,,
4491,LLMJudge fails with Anthropic models when max_tokens is high,https://github.com/pydantic/pydantic-ai/issues/4491,CLOSED,2026-03-01,True,True,,,,
4487,Add typed-first context-limit classifier helper,https://github.com/pydantic/pydantic-ai/issues/4487,CLOSED,2026-03-01,False,True,,,,
4446,"Add a ZenML integration to the durable execution family alongside Temporal, DBOS, and Prefect.",https://github.com/pydantic/pydantic-ai/issues/4446,OPEN,2026-02-27,False,True,,,,
4434,Not wrapping errors that occur after request setup in streaming (GoogleModel),https://github.com/pydantic/pydantic-ai/issues/4434,CLOSED,2026-02-25,False,True,,,,
4433,Accessing `model_settings` and `ModelRequestParameters` from `RunContext` in `history_processors`,https://github.com/pydantic/pydantic-ai/issues/4433,CLOSED,2026-02-25,False,True,,,,
4430,Anthropic retry path crashes on malformed tool args (args_as_dict ValueError) before model can self-correct,https://github.com/pydantic/pydantic-ai/issues/4430,CLOSED,2026-02-25,True,True,,,,
4385,`@agent.output_validator` receives inconsistent `ctx.retry` depending on text vs tool output path,https://github.com/pydantic/pydantic-ai/issues/4385,CLOSED,2026-02-20,True,True,,,,
4383,Incompatibility with cohere >=5.20,https://github.com/pydantic/pydantic-ai/issues/4383,CLOSED,2026-02-20,False,True,,,,
4378,Feature request: structured context overflow event payload contract,https://github.com/pydantic/pydantic-ai/issues/4378,CLOSED,2026-02-20,False,True,,,,
4376,Builtin Tools Human in the loop approval,https://github.com/pydantic/pydantic-ai/issues/4376,CLOSED,2026-02-20,True,True,,,,
4364,Anthropic cache tokens double-counted in Langfuse/OTel due to genai-prices input_tokens semantics,https://github.com/pydantic/pydantic-ai/issues/4364,CLOSED,2026-02-19,True,True,,,,
4360,xAI cache_read_tokens ends up in details instead of top-level field,https://github.com/pydantic/pydantic-ai/issues/4360,CLOSED,2026-02-19,True,True,,,,
4359,Automatic tool budget reminders via `ToolReturn.content`,https://github.com/pydantic/pydantic-ai/issues/4359,OPEN,2026-02-19,True,True,,,,
4352,Truncate large tool results and let model read the rest (in chunks) via a new tool,https://github.com/pydantic/pydantic-ai/issues/4352,OPEN,2026-02-18,False,True,,,,
4350,Groq: `tool_use_failed` error with non-tool-call `failed_generation` bypasses retry logic,https://github.com/pydantic/pydantic-ai/issues/4350,CLOSED,2026-02-18,True,False,,,,
4314,RuntimeError: Task got Future attached to a different loop [xAI],https://github.com/pydantic/pydantic-ai/issues/4314,CLOSED,2026-02-13,True,False,,,,
4301,Automate PR review and triage,https://github.com/pydantic/pydantic-ai/issues/4301,OPEN,2026-02-11,False,True,,,,
4299,v2: Reconsider which optional dependency groups to include in the non-slim package,https://github.com/pydantic/pydantic-ai/issues/4299,OPEN,2026-02-11,False,True,,,,
4279,"Vercel AI integration: `ToolApprovalRequestChunk` not emitted for `DeferredToolRequests`, approval responses not parseable",https://github.com/pydantic/pydantic-ai/issues/4279,CLOSED,2026-02-10,False,True,,,,
4275,Add native Z.AI (Zhipu AI) provider,https://github.com/pydantic/pydantic-ai/issues/4275,OPEN,2026-02-10,False,True,,,,
4248,Retry message suggests 'call a tool' when no tools are registered,https://github.com/pydantic/pydantic-ai/issues/4248,CLOSED,2026-02-07,True,True,,,,
4217,Add Anthropic Opus 4.6 model,https://github.com/pydantic/pydantic-ai/issues/4217,CLOSED,2026-02-05,False,True,,,,
4170,Add interleaved thinking anthropic beta,https://github.com/pydantic/pydantic-ai/issues/4170,CLOSED,2026-02-02,True,True,,,,
4137,Feature Request: First-class Context Compaction API,https://github.com/pydantic/pydantic-ai/issues/4137,CLOSED,2026-01-29,False,True,,,,
4135,handle when reasoning_tokens is None,https://github.com/pydantic/pydantic-ai/issues/4135,CLOSED,2026-01-28,True,True,,,,
4117,Anthropic with extended thinking never provides keys/values for `dict` fields on output types,https://github.com/pydantic/pydantic-ai/issues/4117,CLOSED,2026-01-27,True,True,,,,
4101,Let `agent.to_a2a` take `deps`,https://github.com/pydantic/pydantic-ai/issues/4101,OPEN,2026-01-27,False,True,,,,
4088,Is it recommended to explicitly mention `final_result` in prompts?,https://github.com/pydantic/pydantic-ai/issues/4088,CLOSED,2026-01-25,False,True,,,,
4083,Add output validation retries to run context,https://github.com/pydantic/pydantic-ai/issues/4083,CLOSED,2026-01-24,True,True,,,,
4082,How can I add lifecycle hooks or callbacks to a PydanticAI Agent?,https://github.com/pydantic/pydantic-ai/issues/4082,CLOSED,2026-01-24,False,True,,,,
4074,Capture cached token usage in otel histograms,https://github.com/pydantic/pydantic-ai/issues/4074,OPEN,2026-01-23,True,True,,,,
4070,Add config option to select json path for access token in OAuth response for Slack MCP,https://github.com/pydantic/pydantic-ai/issues/4070,CLOSED,2026-01-23,True,True,,,,
4069,Mistral streaming JSON/output-tools requests should respect model settings (temperature/max_tokens/timeout/etc.),https://github.com/pydantic/pydantic-ai/issues/4069,CLOSED,2026-01-23,True,False,,,,
4068,UsageLimits should preserve explicit 0 token limits,https://github.com/pydantic/pydantic-ai/issues/4068,CLOSED,2026-01-23,True,True,,,,
4060,Add `ContextWindowExceeded` exception for detecting input token limit errors,https://github.com/pydantic/pydantic-ai/issues/4060,OPEN,2026-01-21,True,True,,,,
4026,"Getting ""pydantic_ai.exceptions.UnexpectedModelBehavior: Exceeded maximum retries (0) for output validation"" when using GPT 5.2 model with ImageGenerationTool",https://github.com/pydantic/pydantic-ai/issues/4026,CLOSED,2026-01-17,True,False,,,,
4018,`StructuredDict` does not currently support recursive `$ref`s and `$defs`,https://github.com/pydantic/pydantic-ai/issues/4018,OPEN,2026-01-16,True,True,,,,
4010,Why does add() process return hints for regular Steps in pydantic graph beta?,https://github.com/pydantic/pydantic-ai/issues/4010,CLOSED,2026-01-15,False,True,,,,
4001,Bedrock's `count_tokens` only works with foundational models,https://github.com/pydantic/pydantic-ai/issues/4001,CLOSED,2026-01-14,True,False,,,,
3995,Parent Agent spans report aggregated token usage from their child spans,https://github.com/pydantic/pydantic-ai/issues/3995,CLOSED,2026-01-13,True,True,,,,
3959,`deferred_handler` for Inline Resolution of Deferred Tools,https://github.com/pydantic/pydantic-ai/issues/3959,CLOSED,2026-01-08,False,True,,,,
