number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
348,Has yomo provided docs about core/frame?,https://github.com/yomorun/yomo/issues/348,CLOSED,2022-07-06,False,True,,,,
296,[BUG] Source - On Close() it creates an error within the Zipper,https://github.com/yomorun/yomo/issues/296,CLOSED,2022-02-25,False,True,,,,
255,[BUG] Connect() error tls: no application protocol,https://github.com/yomorun/yomo/issues/255,CLOSED,2021-11-15,False,True,,,,
